A: 	oké deze zijn zegmaar zo'n zo'n kop die iets hoog staan 
A: 	en hij staan zegmaar zo'n balk 
B: 	ah met een poo zegmaar 
A: 	ja 
A: 	met één één poot zegmaar 
B: 	ja 
B: 	zo draaien zegmaar 
A: 	nee nee een recht balk 
A: 	een recht balk met 
B: 	aan de voorkant zegmaar 
A: 	en de en rechterkant 
A: 	ja aan de voorkant 
A: 	en dan boven zitten dan dat ei zo 
B: 	ah 
B: 	een bolle 
A: 	ja dat bollet zitten er bovenop 
B: 	ja oké 
B: 	oké dat zijn K 
B: 	oké ja deze hebben dit zijn een lang ja rechthoek naar beneden eigenlijk aan de voorkant en dan een ei aan de bovenkant 
A: 	ja dat weer die hebben die hebben we ook al hebben 
B: 	ja die hebben we al hebben toch 
A: 	ja oké sure 
B: 	ja 
B: 	ja 
A: 	die zijn twee 
A: 	ja dit zijn weer zo'n ei die er bovenop liggen 
A: 	en de balk ernaast 
B: 	ja 
A: 	zo'n paal ernaast of 
B: 	ja oké dat zijn N 
B: 	ja dit zijn weer met dat ei aan de bovenkant en die balk aan de voorkant 
A: 	ja 
A: 	dat zijn twaalf 
A: 	deze zijn met het ei er bovenop 
A: 	zijn maar één volgens mij 
B: 	ja met die balk hè ? ja 
A: 	ja 
B: 	oké N 
B: 	ja dit zijn weer met die ei aan de bovenkant 
A: 	ja zestien 
