A: 	okee deze hebben dus een neus die steken een beetje diagonaal uit zo naar de rechterkant 
A: 	met ook een arm erbij zo 
A: 	en die hebben een soort van ja die staan op een 
B: 	het lijken wel een zeef 
B: 	een voetstuk en 
A: 	ja op een voetstuk en die hebben hier lijken het op zo'n strik 
B: 	ja ik zien hem al dat zijn I bij mij 
B: 	deze deze vinden ik moeilijk deze hebben twee arm rechts 
B: 	één kromme en één recht 
B: 	en een vierkantje met een stok erdoorheen op zijn hoofd 
B: 	beetje aan de linkerkant 
B: 	sorry een plat vierkant met een 
A: 	lijken het op een op op zo'n knot of 
B: 	ja een soort mutsje met een 
B: 	ja 
B: 	ja met zo'n stok erdoorheen zeggen maar ja 
A: 	en hij staan op iets 
B: 	en hij staan op iets 
A: 	ja 
B: 	ja 
A: 	okee dat zijn nummer veertien 
A: 	deze hebben ja dat kunnen een strik noemen hierboven 
A: 	dat arm hier zo 
B: 	ja 
A: 	hier een neus dat zo uitsteekt en hij staan op iets 
B: 	ja 
B: 	dat zijn j 
B: 	dit zijn die met het knot 
B: 	en twee arm rechts en een kromme voet zo 
A: 	ja zo'n kromm voet ja 
A: 	dat zijn zes 
A: 	deze lijken net of die dat strik hebben en zo'n arm 
B: 	ja 
A: 	en dan dan staan hij op iets 
B: 	o 
B: 	dit zijn die met het knot 
B: 	en twee arm rechts en op de voet 
B: 	de kromme voet 
A: 	ja dat zijn tien 
