A: 	dit zijn zo'n soort ja zo'n soort rond dienblaad of zo zullen je kunnen zeggen hebben die aan de linkerkant 
A: 	en aan de rechterkant zo'n raar uitsteeksel met zo'n heel groot trompet of 
B: 	ja een uitsteeksel en een soort van trompetding 
A: 	ja zoiets 
B: 	ja 
B: 	dat zijn bij mij L 
B: 	ja ik hebben nou weer die een met dat trompet met die trompetuitsteeksel en dan 
A: 	ja 
A: 	en dat rond ding ervoor 
B: 	ja 
A: 	dat zijn bij mij nummer zeven 
A: 	dit zijn met die rond schijf en die trompet 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	weer die een met dat trompetgedoe en dat rond plateaut zeggen maar 
A: 	ja 
A: 	nummer één bij mij 
A: 	ik hebben nu die een met die trompet staan bij mij een beetje link in het midden 
B: 	ja 
B: 	dat zijn A 
B: 	die een met die trompet en dat plateau dat rond plateau zeggen maar 
A: 	ja 
A: 	ja 
A: 	nummer dertien 
