B: 	ik hebben een mokvormig basisding met een soort van ja hij lijken driehoekig te zijn 
B: 	ik weten niet helemaal precies hoe de vorm heten maar dan zijn al hoek afronden er zijn een rechthoekig balk bovenop 
B: 	dan hebben die een klein cilinder en een soort gleuf lijken het wel waar de cilinder dan recht op staat 
B: 	dus in principe bovenop een balk 
B: 	hij lijken enigszins schuin te staan 
A: 	ja 
A: 	boven op het kop liggen zeggen maar zo'n lang balk 
B: 	boven op het kap 
B: 	ja precies 
A: 	ja 
B: 	dan hebben je iets wat enigszins op een driehoek lijken met dan de bovenste punt eraf 
B: 	en aan de rechterkant zitten dan een cilindervormig ding en gleufje 
A: 	ja 
A: 	ja 
A: 	en lijken de linkerkant een soort van op een limonadekan zeggen maar als je daar zo'n tap van openzet dat dan limonade eruit komen 
B: 	ja 
A: 	daar doen het mij aan denken 
B: 	ja 
A: 	ja 
A: 	oké dan denken ik dat het nummer acht zijn 
A: 	ik hebben de mok met de rechthoekig balk erbovenop 
A: 	aan de linkerkant dat soort van Limonadeding 
A: 	en aan de rechterkant een uitstekend driehoek waar een 
B: 	het 
B: 	ja waar een cilinderdinge op staat 
A: 	ja die 
B: 	ja dat zijn bij mij E 
B: 	ik hebben de basisvorm met daarbovenop een balk 
B: 	en dan de daar aan de rechterkant die gleuf weer met een cilinder klein cilindertje daarbovenop en aan de rechterkant dat ja wat jij dat limonadedinge 
A: 	ja 
A: 	Limonadeding toch 
A: 	ja ja 
A: 	dat zijn nummer één hier 
A: 	dit zijn de kop met dat limonadetuitje aan de linkerkant 
A: 	en er liggen een rechthoekig balk bovenop 
A: 	rechts een uitstekend driehoek met een soort cilindertje erop 
B: 	uitstekend driehoek 
A: 	nou je vinden hem makkelijk als je die horizontaal balk erboven opzoeken 
B: 	even zien 
A: 	want dat zijn er maar één 
B: 	ah ja dat zijn bij mij nummer E 
A: 	ja 
B: 	ik hebben degeen met een balk bovenop liggen 
B: 	het zijn de enig en dan aan de een kant dat cilindervorm met een gleufje en dan 
A: 	ja 
B: 	yes 
A: 	nummer zestien 
A: 	dit zijn die mok waar die rechthoekig balk bovenop liggen 
A: 	aan de linkerkant dat soort van limonadetuitje 
A: 	aan de rechterkant het driehoekig uitsteeksel met jou cilinder erop 
B: 	ja zijn O 
