A: 	okee je hebben het kop 
A: 	en Linksboven hebben je nou ja een uitsteeksel lijken ook een beetje zo'n druppelvormachtig 
A: 	aan de ja rechterkant beetje in het midden daar zitten een bal lijken een beetje op een neus 
A: 	met een staaf erdoorheen 
A: 	en aan de rechterkant aan het uiteinde van de staaf zitten nog een cirkel plaatjeachtig ding 
B: 	ja ik denken n 
B: 	dit zijn wel de neus met iets erdoorheen 
A: 	okee 
B: 	en dan een soort druppel eruit 
A: 	ja druppel Erboven link 
B: 	ja 
A: 	ja zestien 
A: 	dit zijn die met de neus maar wel met de staaf erdoorheen 
A: 	met het schotel aan de uiteinde 
B: 	even zoeken met het druppelt erbovenop 
A: 	ja 
B: 	ja 
B: 	k 
B: 	diegene met ding door zijn neus 
B: 	en met het klein druppel 
A: 	yes waar staan die nu weer 
A: 	ja dat zijn veertien 
A: 	dit zijn die met de neus met een staaf erdoorheen 
B: 	ja e 
B: 	dit zijn de neus met een dinge erdoorheen 
B: 	en druppelvorm Linksbovenin 
A: 	ja 
A: 	dat zijn acht 
