A: 	oké hierbij hebben je weer dat basiskomme 
A: 	en er opsteken iets eronder uit 
A: 	zo 
A: 	en het zijn ook best wel een complex met met eigenlijk boven hebben die zo'n zo'n ruit 
B: 	ja 
B: 	ja ja 
A: 	en dan ook nog van die twee van die 
B: 	oké 
B: 	ik weten welk je bedoelen 
B: 	oké dat zijn M 
B: 	dit zijn die met die ruit aan de achterkant 
A: 	ja en dat schoorsteen of die 
A: 	dat dat pluimp op de bovenkant met twee van die rond 
B: 	nee 
B: 	hij hebben niet twee van die rond op de nee nee nee 
B: 	nee 
B: 	hij hebben zeggen maar ik weten welk je bedoelen maar dat zijn hem niet 
B: 	hij hebben hier een ruit en dan zitten er onder het kop zitten nog een poo 
B: 	en dan aan de voorkant zitten nog een poo en hij hebben ook een armp dat zo gaan 
A: 	ja 
A: 	ja precies 
A: 	hij hebben zo'n en die er zitten van die ruiten en dan zitten er ook van die blok aan toch 
B: 	ja 
A: 	ja oké 
A: 	dat zijn negen 
A: 	ik hebben weer die met die rui op zijn hoofd 
A: 	met die die blok weer die er zo insteken 
A: 	in die ruit en onderin hebben die weer dat 
B: 	ja 
B: 	dat gek poo en een arm en een been of zo 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	oké dat zijn H 
B: 	ik hebben die met de ruit en de de dat dat balkding dat erdoorheen gaan die blok 
A: 	ja ik zitten hem zijn hem even aan het zoeken hoor 
A: 	ja ja ja 
A: 	dat zijn nummer elf met met zo'n zo'n ding er ook weer onder 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	ik hebben die ruit met die blok allemaal erin 
B: 	ja 
B: 	oké dat zijn D 
B: 	ik hebben de ruit met de vierkant ding erdoorheen 
A: 	ja 
A: 	oké dat zijn nummer veertien 
