A: 	deze hebben een uitsteeksel aan de onderkant 
A: 	en aan de bovenkant zitten ook een uitsteeksel dat zijn een soort ruit vinden ik het lijken 
B: 	ja ja ja dan weten ik al welk het zijn 
A: 	met twee van die ding erin 
B: 	met twee van die toren aan de zijkant 
A: 	ja ja 
B: 	ja oké dan zijn het M 
B: 	en deze hebben die ruit aan de bovenkant met twee van die torent aan de zijkant 
B: 	en een dinge beneden eruit aan de zijkant eruit en aan de voorkant eruit 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn die met met die ruit aan de bovenkant met twee van die kasteelt aan allebei de kant 
B: 	ja ja ja 
A: 	en zo'n ding onderaan nog 
B: 	dat 
B: 	ja dat zijn H 
B: 	ik hebben diegene met de ruit zeggen maar boven en met twee van die torent die erin gaan 
A: 	ja 
A: 	ja dat zijn elf 
B: 	oké 
A: 	dit zijn met die ruit erin met die twee torent aan de zijkant 
A: 	en dat uitsteeksel onder nog 
B: 	ja zoeken ja dat zijn bij mij d 
B: 	ik hebben diegene met die ruit en die twee torent erin 
B: 	die Erboven zitten en twee uitsteeksel 
A: 	ja 
A: 	dat zijn veertien 
