B: 	ik hebben nou dat plaat met ja zeggen maar kop dat eigenlijk ook op een tafel staan en waarbij dan die van die ribbelt aan allebei de 
A: 	ja van zo'n soort spiraalding aan de zijkant en zo'n en zo'n 
B: 	ja met drie met drie drie dinget zeggen maar 
A: 	ja 
B: 	drie diamant zeggen maar op elkaar een soort van 
A: 	zo'n rond ervoor toch 
B: 	ja een rond ervoor ja 
A: 	zo'n ding 
A: 	ja 
A: 	oké dat zijn bij mij nummer vijf 
A: 	ik hebben nu met die spiraalding met die drie dinge aan de zijkant en zo'n bolle ervoor op zo'n plateau 
B: 	oké 
B: 	ja en zo'n plateau ja dat zijn bij mij J 
B: 	dan hebben we ik hebben nou weer die een met die ja met die drie uisteekselt zeggen maar aan allebei de kant 
A: 	en een rond ding ervoor op die verhoging 
B: 	ja 
A: 	dat zijn nummer elf bij mij 
B: 	ja 
A: 	ik hebben nu die een met die drie dinget ernaast zeggen maar 
B: 	ja 
A: 	spiraal en dat rond ding ervoor en de plaat eronder 
B: 	en 
B: 	ja 
B: 	dat zijn bij mij P 
B: 	met die drie diamant zeggen maar aan de zijkant die uitsteken met dat rond aan de voorkant op dat plateau 
A: 	op dat plateau ja nummer negen 
A: 	dit dit zijn die drie dinge die zeggen maar die soort spiraal met dat rond ervoor en dat plateau eronder 
B: 	ja 
B: 	dat zijn bij mij L 
