A: 	oké ik noemen deze arm 
A: 	omdat die een soort van knuffel willen geven met twee heel dun arm 
B: 	ja ik noemen een ander arm denken ik 
B: 	even kijken hebben die hebben die een gek balk boven voor zich 
A: 	één één bolle 
A: 	ja 
A: 	ja ja 
B: 	ja 
B: 	oké dat zijn bij mij d 
A: 	oké dan zijn het d zeven 
B: 	oké D zeven 
B: 	deze hebben we al hebben 
B: 	dit zijn armp 
A: 	mooi zo 
A: 	jou armp of mijn armp 
B: 	jou armp met balk aan de voorkant 
A: 	oké ja 
B: 	K 
A: 	K vijftien 
A: 	die ik arm noemen met die paal voor het hoofd 
B: 	ja 
B: 	ik moeten even zoeken 
A: 	twee 
B: 	L twee 
B: 	jou armp 
B: 	M 
B: 	Mico 
B: 	Mico 
B: 	nieuw naam 
B: 	Mico 
A: 	zo 
A: 	als ik hem kunnen vinden 
A: 	M 
B: 	M 
A: 	M zes 
A: 	je mijn arm 
A: 	balk balk ervoor 
B: 	ja 
B: 	J 
A: 	vijftien 
B: 	J vijftien 
B: 	jou armp 
B: 	A 
A: 	A drie 
