A: 	deze hebben het kop zitten vast aan een balk 
A: 	en zitten wat hoog 
A: 	en die hebben een balle 
A: 	op zijn hoofd 
A: 	of half in het kop 
A: 	en die hebben de linkerarm die een beetje zo doen en de rechteram zijn half afgesneden lijken het wel 
B: 	ja ja dat zijn nummer j 
A: 	alsof die niet op de foto zitten laten we het zo maar zeggen 
B: 	letter j 
B: 	okee deze hebben linksboven een ei op zijn hoofd 
B: 	en er en een lang recht balk rechtsonder 
B: 	en twee arm de een zijn krom de ander zijn kort en recht 
A: 	ja dat zijn nummer dertien 
A: 	deze we kunnen het een treehugger noemen nee 
A: 	hij lijken net of hij vastzit of één of een stok gaan omhelzen met een bal op zijn hoofd 
A: 	dat zijn met die houten stok 
B: 	ja ja ja 
A: 	en dan zitten het kop iets hoog 
B: 	ja dat zijn m 
B: 	dit zijn die met het ei Linksboven op zijn hoofd twee arm één zo één zo en die balk 
A: 	en een houten blok 
A: 	ja dat zijn nummer drie 
B: 	ja 
A: 	deze deze hebben met dat balk en dat dan zo om dat balk heen gaan 
B: 	ja e 
A: 	en een ei 
B: 	tree hugger 
B: 	en ei 
A: 	waar zitten je 
B: 	Linksboven 
A: 	dat zijn nummer acht 
