B: 	oké dit zijn het die emmer met het vierkant helemaal onderop 
A: 	ja 
B: 	en dan staan die emmer staan daarbovenop en dan hebben die drie van die kraaldingetjes wat zijn het ? diamant weten ik het aan de buitenkant en een rond aan de voorkant 
A: 	ja 
A: 	ja precies 
A: 	ja 
A: 	ja precies 
A: 	dat zijn vijf 
A: 	ja dit zijn die dit zijn die figuur met die met die zes rui zo aan de zijkant en die en dat rond voor zeggen maar 
B: 	ja J 
B: 	dit zijn die met die gek ding aan de buitenkant 
B: 	die die die zes blok 
A: 	ja precies dat zijn elf 
A: 	ja dit zijn weer die die emmer met aan aan de beide kant die die drie ruit zeggen maar 
A: 	en aan de voorkant dat rond 
B: 	ja P 
B: 	zo omschrijfen 
B: 	dit zijn die dat zijn dat vierkant vlak onderop en dan die die zes dinget 
A: 	ja precies 
B: 	drie aan beide kant 
A: 	en dat rond voorop 
B: 	ja 
A: 	ja 
A: 	dat zijn negen 
A: 	ja dit zijn die met die met die rui aan de zijkant die drie 
B: 	ja dat zijn L 
