A: 	oké deze hebben ja zeggen maar aan de 
A: 	rechter en linkerkant onderaan het kop steken zeggen maar twee 
A: 	dik cilinder uit met aan de aan de aan de uiteinde van die cilinder een soort van bolal eraan 
A: 	en aan de achterkant ja ik kunnen het niet heel goed zien maar ja aan de achterkant zitten een beetje aan de linkerkant 
B: 	ja 
A: 	daarachter een soort van vierkant met nog iets ander 
B: 	zitten er ook een zitten er ook een kegelvorm op de het kop 
A: 	ja dat vinden ik lastig om te omschrijven maar 
A: 	er zitten geen kegelvorm op het kop 
B: 	dus er zitten niks op het kop zelf 
A: 	nee 
B: 	oké 
A: 	nee het lijken in ieder geval alsof het er het erachter zitten echt dat vierkant 
B: 	oké 
B: 	het vierkant 
A: 	ja of een ja het zijn veel het zijn niet echt een vierkant want het hoe heten dat nou ook weer 
A: 	want hij staan zeggen maar schuin een soort van 
B: 	zijn het veel een soort van pylonvormig ding dat er zo uit opsteken 
A: 	one's nee nee dat ook niet 
B: 	nee 
B: 	welk hebben we dan ? staan er een soort van lampenkap op 
A: 	nee 
B: 	op het kop 
A: 	nee en en maar het zijn dus nee die die uitsteeksel 
A: 	die uitsteeksel aan beide kant die zijn denken ik het waar je het het duidelijk aan kunnen herkennen 
A: 	omdat dat volgens mij de enig zijn die zeggen maar aan de linkerkant zijn dat uitsteeksel kort dan aan de rechterkant 
B: 	zijn het een soort van plank met twee van die of één of een bank een beetje die vorm 
B: 	en een soort van omgekeerde lampenkap erop 
B: 	op die plank 
B: 	en dan het kop eraan 
B: 	zijn dat hem 
A: 	nee dat nee 
A: 	ik zien ik zien denken ik welk je bedoelen dat zijn hem niet 
B: 	oké 
A: 	one ja het zijn lastig om 
B: 	en voor de rest geen hij het oppervlakte van het kop zijn leeg dus 
A: 	er staan niks op ja kloppen 
B: 	niks op niks op 
B: 	alleen maar uitsteeksel 
A: 	en ja en die en die uitsteeksel aan de zijkant die zitten een beetje beetje aan de onderkant zeggen maar 
B: 	oké 
A: 	maar die lijken ook soort van niet uit het kop te komen maar van achter het kop daaruit te steken 
B: 	van achter het kop 
A: 	qua perspectief 
B: 	zijn het K 
A: 	kunnen je 
B: 	zijn het een soort van springplankachtig 
A: 	en die die springplank waar ? die zitten dan 
B: 	lijken wel 
B: 	die zitten achter het kop 
A: 	ja die zitten achter het kop 
A: 	en dan hebben je inderdaad die twee uitsteeksel met bollen aan de het uiteinde 
B: 	ja 
B: 	ja ik zien hem 
A: 	oké 
B: 	ik zien hem 
A: 	dat zijn hem 
B: 	nou dit zijn weer het beker met die raar spling met de raar springplank en die twee uitsteeksel met die bolal erop 
B: 	die 
A: 	even kijken 
B: 	de springplank 
A: 	ja ja precies ja negen zijn dat 
A: 	negen 
A: 	oké dit zijn diegene weer met de springplank zeggen maar erachter 
A: 	en die twee uitsteeksel met de bollen eraan aan de aan de zijkant 
B: 	staan die dit keer 
B: 	even speuren 
B: 	F 
B: 	het zijn weer die een met de springplank en de bollet 
B: 	en de het uitsteeksel met de bollet 
A: 	ja dat zijn drie 
B: 	oké 
A: 	oké dit zijn weer de springplank en de 
B: 	springplank 
B: 	L 
B: 	het zijn de springplank weer 
B: 	met de knop 
A: 	ja vijf 
