A: 	ja ik vinden deze op een op een kat lijken die hebben zo'n soort aan de achterkant zo'n 
A: 	zo'n hoe noemen je dat een een ruit met twee van die telescoopachtig ding aan de zijkant die naar links en rechts eruit steken 
A: 	en aan de voorkant hebben hij gewoon een soort recht staaf en dan onderaan het kop een haak en rechts aan het kop ook een haak 
A: 	dus je hebben één je hebben één kop die op de achterkant zo'n niet een volledig ruit hebben maar een deel die er zo half achterin zitten 
B: 	ja 
B: 	ja 
A: 	en dan aan de zijkant steken er twee van die ding uit die ruit uit 
B: 	en waarom zijn dat een kat 
A: 	ja ik vinden dat je die ruit op een kat lijken ik weten het niet dat zijn het één wat in me opkwam 
B: 	ok nou met die ruit snapen ik het en dan hebben je dus onderaan dus nog een uitsteeksel en zo'n 
A: 	ja ja 
A: 	ja gewoon helemaal precies aan de onderkant zo'n 
B: 	en zo'n zelfde zitten eigenlijk rechts 
A: 	ja en een soort staaf die er recht uitkomen ja 
B: 	okan ja dat zijn dan M van Martin 
A: 	okan ja 
B: 	ok dit zijn 
B: 	met die ruit bovenin waar je dan ook nog twee ding aan vast hebben zitten 
A: 	ja die kat 
B: 	zijn dat die kat 
A: 	ja denken het wel 
B: 	nou dat zullen best kunnen maar ik zien het nog steeds niet en dan onderaan zitten nog zo'n slurf en aan de zijkant ook 
A: 	ja ja en aan de zijkant en recht vooruit zo'n 
B: 	wat zijn dan de kat die 
A: 	ja alleen dat alleen die ruit met die ja ik weten waarom ik gewoon die ruit dat vinden ik op een kattenhoofd lijken zeggen maar maken niet die ding die er uit komen niet eens maar gewoon 
B: 	ok nou prima 
A: 	ok dat zijn negen 
A: 	ja dit zijn die kat met dat met die ruit en die telescoop aan de zijkant 
B: 	ok 
B: 	ja dat zijn voor mij H 
B: 	nou dit zijn de kat 
B: 	met de ruit blijbaar 
A: 	ja ja heel goed ja dat zijn elf 
A: 	dit zijn weer die kat 
B: 	kat kten kat 
A: 	met de ruit en 
B: 	ja dat zijn voor mij d 
A: 	ja 
B: 	dit zijn de kat 
A: 	ja zijn nummer veertien 
