A: 	deze hebben namelijk soort van nee die hebben gewoon twee balk aan de rechterkant twee gelijksoortig balk 
B: 	ja 
A: 	hij hebben een soort staart aan de linkerkant onderaan 
B: 	ja en een aztekenhoed op de bovenkant 
A: 	ja en een hoed op de bovenkant 
B: 	ja 
B: 	circushoed 
B: 	ja dat zijn k 
B: 	deze hebben twee identiek uitsteelsel aan de rechterkant en dat aztekenpyramide aan de bovenkant 
B: 	en aan de linkerkant hebben hij een soort van schoorsteen die naar buiten wijzen 
A: 	en onderaan een staart zijn dat die 
B: 	ja 
A: 	dat zijn vijfteen 
B: 	jij noemen dat een staart ja okee dat zijn wel een goed ja 
A: 	ja dit zijn veel zijn veel de space shuttle die ik denken 
A: 	twee rechts balk dezelfde aan de rechterkant 
A: 	zo'n staart en ook weer zo'n ja bakje of wat zijn het aan de bovenkant omgekeerd 
A: 	twee 
B: 	wachten even wachten even 
A: 	vooral de twee identiek streepjes naar rechts 
B: 	ja ja met dat aztekenhoed bedoelen je dan 
A: 	ja dat hoed ja hoed 
B: 	ja ja 
A: 	dat bedoelen ik 
B: 	dat zijn c 
B: 	ik kunnen hem even niet vinden 
B: 	ja aztekenhoed aan de bovenkant twee identiek uitsteeksel aan de rechterkant en een staart aan de linkerkant Linkeronderkant 
B: 	en aan de linkermiddenkant hebben je ook nog een uitsteeksel 
B: 	rechthoekig 
A: 	ja nummer drie 
A: 	twee balk dezelfde aan de rechterkant met weer dat hoed staart 
B: 	en het staart 
A: 	ja 
B: 	yes dat zijn d 
B: 	dit zijn de aztekenpyramide op de bovenkant en het staart aan de linkerkant en twee identiek vorm aan de rechterkant 
B: 	rechthoekig uitsteeksel aan de rechterkant 
A: 	waar zijn die 
A: 	ik weten welk je bedoelen 
A: 	ja 
A: 	twaalf 
