A: 	raken ik zelf even in de war 
B: 	ja 
B: 	oké dit zijn eigenlijk een beetje nou dat zijn dat zijn gewoon de denken de lang van allemaal en dan van onder zijn eigenlijk een soort orkaan 
B: 	vinden ik 
A: 	ja 
B: 	ja zo'n twister 
B: 	en bovenop zien je twee blok en één zo'n 
A: 	ik zien ik omschrijven hem als trofee in mijn hoofd 
B: 	ja dat zijn de goed 
A: 	want je leggen net een beker of een trofee die je vastpken ja 
B: 	ja ja 
A: 	vier 
A: 	dat zijn het zijn de trofee of de bokaal 
B: 	waar hebben ik die alweer zien 
B: 	ja 
B: 	A 
B: 	dit zijn die trofee 
A: 	de trofee 
A: 	ja 
A: 	tien 
A: 	het de trofee 
B: 	trofee 
B: 	L 
B: 	dit zijn de trofee 
A: 	de trofee 
A: 	ja 
A: 	vier 
A: 	bokaal 
B: 	de bokaal 
A: 	of de trofee 
B: 	F 
