B: 	even kijken deze hebben dat zo'n driehoekig ding op zijn buik met zo'n stok erop zeggen maar 
B: 	en dan twee van die en aan allebei de kant zo'n 
A: 	driehoek 
A: 	ja 
A: 	ja en alsof het een onderzeeër zijn 
B: 	ja zoiets ja 
A: 	ja 
A: 	acht 
A: 	dit zijn die ander onderzeeër 
B: 	even kijken welk zijn het ook alweer 
A: 	ja met dat smal balk en en die waar dat staaf ook zo omhoog staan met dat vinne 
B: 	ja met die driehoekig neus met zo'n dinge erop ja 
A: 	ja 
A: 	ja 
B: 	E 
B: 	dit zijn die onderzeeër met die twee dinge aan de zijkant en dat driehoekig neusje met het pinne erop 
A: 	ja 
A: 	zijn één 
A: 	het klein onderzeeër 
A: 	met die met dat pinne 
B: 	waar zitten die waar zitten 
B: 	hier 
B: 	E 
B: 	dit zijn die onderzeeër met dat klein neusje en dat pinne nog erop 
A: 	neus 
A: 	ja 
A: 	dat zijn zestien 
A: 	de onderzeeër met het pinne 
B: 	O 
