B: 	aan de onderkant onder het kop liggen een plat vierkant 
A: 	ja 
B: 	volgens mij zijn dat er ook maar één 
A: 	ja en er steken twee van die ding uit aan de zijkant dezelfde 
B: 	ja een soort van van die ja bolletjeachtig totaal zes van die bollet 
A: 	ja en dan op 
A: 	plat nee plat rond aan de voorkant 
B: 	ja plat cirkel ja ja 
A: 	ja kunnen er maar één zijn dat zijn nummer vijfteen 
A: 	deze die staan op dat vierkant plateau met die twee dezelfde vorm aan de zijkant van die rond 
B: 	en voorop een een plat cirkel 
A: 	plat cirkel 
A: 	ja 
B: 	ja dat zijn p 
B: 	deze hebben een plat vierkant onderop daar staan het op en van die bloepjes aan de zijkant 
A: 	yeslen ja dat zijn nummer vier 
A: 	deze staan op dat vierkant platform met die twee dezelfde ding aan de zijkant 
B: 	ja dat zijn k 
B: 	de plat vierkant onderop en de staafboll links en rechts 
A: 	yes dat zijn negen 
A: 	dit zijn op de vierkant plateau met die twee dezelfde rond ding aan de zijkant 
B: 	ja de plat vierkant ding toch 
A: 	ja ja 
B: 	ja dat zijn l 
