B: 	oké ik soort stellage om hem heen bouwen , om het bak , dus nou deze deze leunen werkelijk of hij worden echt in plaats houden door de stellage , zo zien ik het 
B: 	en ja erbovenop zitten een soort vierkant wat niet geen vierkant zijn 
B: 	het aandoen veel aan een houtversnipperaar denken 
B: 	waar je zo iets in moeten douwen 
A: 	oké ja 
A: 	hij ja hij hangen echt 
B: 	ja hij hangen echt inderdaad 
A: 	oké 
A: 	dat zijn nummer vijfteen 
B: 	goed zeggen 
A: 	dit zijn de bak die op de hoe heten dat op een ja ergens op leunen 
A: 	de ondersteun balk met de houtversnipperaar erbij 
B: 	ja ja die zijn echt onhandig 
B: 	zijn O 
B: 	bak met een bank om hem heen bouwen 
B: 	en de houtversnipperaar 
A: 	oké vijfteen 
A: 	de bak die leunen op één of die echt ondersteunen worden door een met de houtversnipperaar bovenop en 
B: 	H 
B: 	nou volgen weer 
B: 	ja bak met houtversnipperaar en stellage 
B: 	om hem heen bouwen 
A: 	nummer een 
A: 	de bak die ondersteunen worden door de de de houtversnipperaar 
B: 	ja de K 
