B: 	oké 
B: 	dit zijn met het tafel aan de voorkant 
B: 	het plat lijken op een plat vlak met twee poot 
A: 	ja en met zo'n bak erop 
B: 	met zo'n bak erop 
A: 	ja dat zijn nummer zestien 
A: 	dat tafel 
A: 	met het bak erop 
B: 	met die krulle aan de zijkant 
B: 	of niet 
A: 	nee nee nee die een met het tafel met die poot en dan dat bak erop 
B: 	dat tafel ja 
B: 	oké dat zijn bij mij P 
B: 	dit zijn het tafel met het piramidestukje erop of zo 
B: 	en aan de achterkant nog een een kronkel 
B: 	dus dat tafel met die twee 
A: 	met de poo 
B: 	met die twee poot ja 
A: 	ja 
A: 	dat zijn nummer veertien 
A: 	dit zijn met dat tafel 
A: 	met die twee poot en het bak erop 
B: 	ja dat zijn N 
A: 	nieuw 
B: 	het tafel met de twee poot 
A: 	ja dat zijn nummer tien 
A: 	tafel met de twee poot en het bak 
B: 	dat zijn D 
