B: 	oké dit hier hebben je zeggen maar het trapezium alleen dan omgekeerd een soort van piramide die zijn omgekeerd 
A: 	ja 
B: 	en hij liggen op een balk 
B: 	op een op een plank en die zitten aan dat basisvormpje vast 
A: 	ja 
A: 	ja en die hebben ook nog zo'n zo'n klein 
B: 	zo'n fliebel aan de zijkant 
A: 	ja ja precies ja 
A: 	oké dat zijn zestien 
A: 	ja ik hebben weer die ja ik ik zien dat dus als een soort bank 
A: 	die jij uitlegen met die trapezium die ondersteboven staan 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	oké dat zijn P 
B: 	oké ik hebben die met het bank 
A: 	ja 
A: 	oké dat zijn ja en die trapezium weer hè ? ja 
B: 	ja 
A: 	dat zijn veertien 
A: 	ik hebben diegene met dat bank 
B: 	ja 
B: 	waar zijn die ? daar 
B: 	dat zijn N 
B: 	yes we hebben weer een ander of niet 
B: 	oké ik hebben het bank 
A: 	ja 
A: 	dat zijn tien 
A: 	ik hebben de bank 
B: 	ja 
B: 	dat zijn D 
A: 	zitten bij mij rechts 
