A: 	ik hebben die een aan de bovenkant zitten ook een klein dinge die wijzen naar links 
A: 	en het lijken of hij een hand hebben waar soort van staaf in zitten met een parapluu 
B: 	ja ik weten hem 
B: 	i 
B: 	ik hebben die dat hand met iets ontstopper in zijn hand 
A: 	ja de 
A: 	ik weten welk je bedoelen daar 
A: 	zes 
A: 	ik hebben die dat een man de ontstopper vastheeffen 
B: 	wat zijn het ook alweer ah okee l 
B: 	ik hebben die ontstopper in de hand 
A: 	ja 
A: 	vier 
A: 	ik hebben die een met dat 
B: 	ja b 
B: 	de ontstopper met de hand 
A: 	ja 
A: 	vier 
