A: 	ja dit zijn die figuur met dan hebben je die emmer dan zitten er zo'n arm aan 
A: 	en op die arm zitten weer zo'n toeter 
B: 	ja 
B: 	en aan de ander kant dat plateau 
A: 	ja zo'n plateau ja 
B: 	zo'n rond ding 
B: 	dat zijn L 
B: 	dit zijn met die arm en dan daar komen weer zo'n toeter uit 
A: 	die met die toeter eruit 
A: 	dat zijn zeven 
A: 	ja dit zijn die met die arm en die toeter erop 
B: 	ja C 
B: 	dit zijn de arm met de toeter 
A: 	de arm met de toeter 
A: 	één 
A: 	één zijn het 
A: 	dit zijn die arm met die toeter erop 
B: 	ja A 
A: 	ja 
B: 	dit zijn de toeter 
A: 	die toeter 
A: 	dertien 
