A: 	deze hebben een hanekam gewoon een driehoek best wel groot er op 
B: 	ja 
A: 	en dan een vierkan wat heel raar aflooppen wat er in gaan zegmaar 
B: 	zijn gewoon prisma 
A: 	ja en dan een punt wat er in gaan en aan de onderkant zitten een rond wat ook een beetje verstpen zitten 
B: 	ja dat zijn J 
B: 	deze hebben zegmaar een driehoek bovenop soort van hanekam jij zeggen net een hamekam dan weten je denken ik welk ik bedoelen 
A: 	ja 
A: 	ja en dan met dat rond schijf wat je half zien half niet 
B: 	ja 
A: 	zes 
A: 	de hanenkam en dat blok en dat schuif en het punt 
B: 	E 
B: 	zo met die hanekam dat gek prisma vooraan half rond 
A: 	tien 
A: 	met die hanenkam 
B: 	even kijken 
B: 	en dat half rond linksonderin G 
B: 	hanenkam gek prisma aan de voorkant 
A: 	inhaal tien 
