A: 	want dat kunnen ook niet want de vorig zijn ook niet 
A: 	oké dit zijn driehoek op het hoofd 
A: 	raar neus 
B: 	spits driehoek 
A: 	ja en aan de linkerkant een soort van kogel naast het hoofd 
B: 	ja 
B: 	ja en een soort wieletje eronder ja 
A: 	ja ja die 
B: 	ja J en bij jou 
A: 	vijftien 
B: 	J vijftien 
B: 	dit zijn met die spits driehoek op op de bovenkant 
A: 	met de kogel aan de zijkant 
B: 	ja met de ja 
A: 	oké ja zo ja oké 
B: 	ja ja ja 
A: 	welk 
B: 	hij staan rechtsonder 
A: 	nou weer welk letter 
B: 	H 
A: 	H zes 
A: 	driehoek op driehoek op het hoofd kogel aan de zijkant de raar neus 
B: 	driehoek op het hoofd even kijken die spits driehoek 
A: 	ja zestien 
B: 	ja ja oké E 
B: 	bij jou 
A: 	zestien 
B: 	E zestien 
B: 	dit zijn die met die spits punt op het het driehoek spits driehoek 
A: 	kogel aan de zijkant 
B: 	ja kogel aan de zijkant 
B: 	A 
A: 	A tien 
A: 	hoe heten dat ding 
B: 	welk bedoelen je 
A: 	kogel aan de zijkant van het hoofd en driehoek bovenop 
B: 	ja de G 
A: 	ja dertien 
B: 	ja G 
B: 	G dertien 
A: 	ik weten niet veel wat het woord driehoek betekenen 
B: 	dit zijn met die spits driehoek op het hoofd 
B: 	of op het hoofd op de bovenkant 
B: 	K 
A: 	K tien 
