B: 	nou dit lijken wel een beetje zeggen maar een poppe wat zo met de armp omhoog staan op een soort draaien gedraaide balk 
A: 	ja 
B: 	het zijn een soort beker 
A: 	een soort beker ja 
B: 	ja 
A: 	vier 
A: 	dit zijn die beker 
A: 	die Cup 
B: 	Cup Cup 
A: 	met die spiraal 
B: 	ja en 
B: 	met een spiraal 
B: 	ja ja ja 
A: 	ja die ja 
B: 	dat zijn A 
A: 	ja 
B: 	dit zijn zeggen maar de winnaarsbeker 
A: 	ja 
B: 	met dat draaiden 
A: 	tien 
A: 	de beker 
B: 	de beker met de draaien 
A: 	ja 
B: 	dat zijn L 
B: 	dit zijn de beker 
B: 	op die draaien ding 
A: 	ja 
A: 	vier 
A: 	de beker 
B: 	dat zijn F 
