B: 	okee links zitten een soort van staaf en aan de achterkant zitten een een een cirkelt 
B: 	zitten aan de achterkant die zien je niet zo die zien je maar voor de helft 
B: 	en onderaan zitten een soort van een 
B: 	ja wat zijn het bovenaan zitten trouwens rechtsbovenaan 
A: 	zo'n klein dinge dat aan de bovenkant steeds bred worden 
B: 	ja nee nee nee ja iets bred worden inderdaad 
A: 	ja 
A: 	iets bred hij zijn hij zijn rond aan de bovenkant ook 
B: 	ja ja een beetje rond 
A: 	ja 
B: 	en aan de achterkant zitten zo'n half zijn een die schijf die je maar voor de helft zien 
A: 	ik weten het 
B: 	ja 
A: 	twee 
A: 	ik hebben die een met dat rond aan de achterkant en dat raar ding rechtsboven 
A: 	aan de linkerkant een uitsteeksel aan de onderkant die balk 
B: 	ja 
B: 	h 
B: 	okee dit zijn die half schijf of die schijf aan de achterkant die je half zien 
A: 	die Ronde 
B: 	ja die rond schijf 
A: 	met dat gek ding rechtsboven 
B: 	ja 
A: 	acht 
A: 	ik hebben die een met het gek friemel rechtsboven en de cirkel erachter 
B: 	gek 
B: 	ja ja ja g 
A: 	cirkel die je maar half zien 
B: 	ik hebben de de cirkel die je voor helft zien aan de achterkant 
A: 	negen 
A: 	ik hebben de cirkel aan de achterkant die je maar voor de helft zien 
B: 	ja 
B: 	dat zijn d 
