A: 	ik hebben dit beschrijven als als Pacmanoren zeggen maar 
A: 	zien je die Pacmanvorm 
A: 	die geel pop en dan hebben die zo'n oor die erop lijken 
B: 	ja 
A: 	wanneer die gaan eten 
B: 	even kijken 
A: 	met zo'n pion eraan 
B: 	hier ja ja ja kloppen en aan de ander kant veel zo'n helikopterplatform 
A: 	juist 
B: 	ja 
B: 	L 
A: 	dan hebben we hetzelfde 
B: 	oké nu hebben ik weer die met die Pacman en met die driehoek erop 
A: 	ja oké 
A: 	zeven 
A: 	ja die Pacman en die helikopterplateau 
B: 	even kijken waar staan die ook alweer 
B: 	ja hier 
B: 	C 
B: 	die Pacman en die dat helikopterplatform 
A: 	nummer één 
A: 	die Pacman en die helikopterplattegrond 
A: 	of platform 
B: 	A 
B: 	die Pacman en de helikopterplatform 
A: 	waar zijn die heen 
A: 	dertien 
