A: 	ja het zijn een beker en dan aan de ja voorkant beetje zijkant zitten dan zo'n vierkant wat steeds 
A: 	groot worden naarmate die verdergaan 
A: 	en bovenop zo'n ja ovaal pluim en aan de zijkant ook en daarachter zitten nog één ja een een rond staaf 
B: 	ja 
B: 	en dat vierkant ding zitten aan de rechterkant toch 
A: 	ja ja 
B: 	oké 
B: 	dat zijn bij mij E 
B: 	deze hebben zo'n rond pluim aan de bovenkant 
B: 	en dan dezelfde maar dan links van het kop 
B: 	en dan daarachter een soort van staart en dan aan de rechtervoorkant die kubus die zo steeds klein worden naar het kop toe 
A: 	ja ja 
A: 	dat zijn elf 
A: 	ja dit zijn die met het het krimpen vierkant aan de rechterkant 
A: 	de pluim aan de bovenkant en aan de linkerkant en achter dat rond staart 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn die met dat kubusje die klein worden aan de rechterkant 
B: 	en dan bovenop ja pluim kegelding en link ook en daarachter nog een staart 
A: 	ja 
A: 	ja dat zijn negen 
A: 	dit zijn die met dat aan de rechterkant dat groot klein worden vierkant 
A: 	en die twee pluiem boven en links en dan dat ander flubber 
B: 	ja 
B: 	ja 
B: 	dat zijn B 
B: 	dat zijn die met die pluimpjes boven en link 
B: 	en dan kubus die klein worden er rechts 
A: 	ja 
A: 	ja en het staart 
B: 	ja 
A: 	dat zijn vier 
