A: 	oké deze hebben zo'n soort ja pionne bovenaan 
A: 	en dan rechts twee van die vierkant balk 
A: 	en iets link zitten nog een soort staaf 
B: 	ja ik weten het 
A: 	en daaronder ook nog zo'n ja klein kruldinge 
B: 	ik vinden het een beetje op een vogel lijken 
A: 	ja 
A: 	ja denken ik ook aan ja 
B: 	I zijn dat 
B: 	deze vinden ik op die vogel lijken met die twee blok aan de zijkant rechts 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	dit zijn dat vogel 
B: 	even kijken waar die staan 
B: 	ja M 
B: 	het vogel 
A: 	even kijken waar die zijn 
A: 	ja nummer negen 
A: 	het vogel 
B: 	ja F 
B: 	het vogel 
A: 	eens even kijken waar die zijn 
A: 	ja nummer zes 
