A: 	oké deze zijn dus weer een emmer zullen ik maar zeggen 
A: 	vier uitstulping dus hebben langs vier kant uitsteeksel 
A: 	een ja hoe omschrijf ik dat een een pfoe een een een ovaal , zijn dat een ovaal ? zo'n ovaal stuk aan komen eruit aan de bovenkant 
B: 	ja 
A: 	wat voor ons een beetje optisch links achter lijken lijken het een beetje een golven uitstulping 
B: 	ja ik 
A: 	link aan de voorkant zijn het een soortgelijk 
B: 	dezelfde ovaal 
A: 	zelfde ovaal 
B: 	ja 
A: 	en aan rechts een beetje naar ons keren 
B: 	vierkant 
A: 	ja lijken het een steeds groot wordend vierkant dat er uitsteken 
B: 	ja 
B: 	ja 
B: 	die kennen ik dat zijn de L 
A: 	oké 
B: 	ja duidelijk 
B: 	deze hebben net zo'n ovaal dinge als de vorig bovenop en ook linksonder een beetje 
B: 	en een vierkant rechts die steeds groot worden 
B: 	en nog een klein ja haak linksachter 
A: 	ja 
A: 	en en linksachter 
B: 	ja 
A: 	dus links schuin naar voor wijzen een ovaal en recht er omhoog 
B: 	ja 
B: 	ja ja 
A: 	en aan de rechterkant zijn dat die die groot worden 
B: 	ja 
A: 	vierkant , dat groot worden vierkant , oké 
A: 	nummer vijf 
A: 	deze hebben vier uitsteeksel , twee ovaalvormig , één ovaal zitten links en de ander ovaal zijn bovenop en die steken zeggen maar uit de emmer 
B: 	bovenop 
B: 	ja en een kubus rechts 
A: 	aan de rechter voorkant 
A: 	ja 
A: 	ja precies 
B: 	K 
B: 	deze hebben een ovaal er bovenop en een ovaal links en een kubus rechts die steeds groot worden 
A: 	ja 
B: 	en nog een haak 
A: 	en aan de achterkant een soort 
B: 	ja ja 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn die met vier uitsteeksel , twee ovaal , bovenop en link 
B: 	ja kubus rechts , groot 
A: 	ja 
B: 	L 
B: 	deze hebben ovaal aan de bovenkant en links , en rechts een kubus die steeds groot 
A: 	ja nummer twee 
