B: 	aan de het linkerkant en de rechterkant zitten drie soort van bollet niet helemaal bollet maar precies hetzelfde ja 
A: 	ja weten ik 
A: 	acht 
A: 	ik hebben die een met aan allebei de kant die drie rond slash rui 
B: 	aan beide 
A: 	allebei de kant de drie van die klein bollet ruit het zijn maar net hoe je het zien 
B: 	ja ja 
B: 	j 
B: 	ik hebben de met die twee die twee gelijkwaardig soort van bollet aan de aan de beide kant 
B: 	en zo'n plaat eronder 
A: 	drie van die bollet aan de zijkant 
B: 	ja ja drie van die bollet aan de beide zijkant 
A: 	ja 
A: 	vijf 
A: 	ik hebben die een met die drie bollet aan de zijkant 
A: 	met die plaat eronder 
B: 	die drie bollet aan de zijkant 
A: 	met zeggen maar allebei aan allebei de kant die drie bollet 
B: 	plaat eronder 
B: 	ja ja ja e 
B: 	j 
B: 	ik hebben die drie bollet aan de linker en de zijkant rechterkant 
A: 	ja zes 
A: 	ik hebben die drie bollet aan allebei de kant 
B: 	ja 
B: 	f 
