B: 	deze hebben een vierkant plaat aan beetje zo rechtsvoor en dan daar bovenop zitten een beetje zo'n paddestoel 
A: 	ja elf 
A: 	deze hebben een plat vierkant aan de voorkant en met daarbovenop dat paddestoel 
B: 	ja n 
B: 	dit zijn de vierkant plaat tegen de emmer aan en bovenop de paddestoel 
A: 	ja dat zijn acht 
A: 	dit zijn een plat vierkant aan de voorkant met het paddestoel 
B: 	ja 
B: 	m 
B: 	dit zijn het vierkant plaat tegen de beker aan met het paddestoel bovenop 
A: 	ja vier 
A: 	dit zijn de het paddestoel 
B: 	ja n 
