B: 	nou ja het zijn een kop en hij staan op een vierkantje 
B: 	er zitten allemaal rui aan de zijkant 
A: 	ja 
B: 	hebben je hem 
A: 	ja ja ik hebben hem wel ja die zijn heel duidelijk 
B: 	ja 
A: 	dat zijn nummer vijf voor mij 
B: 	ja 
A: 	nummer vijf 
B: 	oké 
B: 	nee 
A: 	oké deze hebben de de ruit aan de zijkant zitten drie ruit link drie ruit rechts 
B: 	ja het het kop dat zijn J 
A: 	en en het rond aan de voorkant 
B: 	ja 
B: 	ja 
B: 	J 
A: 	en dan op een dienblad 
B: 	nou ja we hebben weer het het kop op het vierkantje 
A: 	ja 
B: 	met de diamant eraan 
A: 	yes oké dat zijn elf 
A: 	oké dit zijn weer met die diaman aan de aan de zijkant en 
B: 	P 
A: 	ja 
B: 	het zijn het kop met de diaman aan de zijkant 
A: 	yes oké dat zijn negen 
A: 	dit zijn weer de diamant aan de zijkant 
B: 	diamant dat zijn L 
