A: 	oké deze hebben eigenlijk een soort van een bal helemaal bovenaan 
A: 	en dan zitten er een een soort balk voor 
B: 	voor 
B: 	en nog twee dinge aan de zijkant 
A: 	ja twee ongelijk dinge 
B: 	oké 
B: 	ja 
B: 	dan zijn het D 
B: 	deze hebben een balle op het kop weer 
B: 	en een balk staan ervoor 
B: 	en twee armp 
A: 	ah 
B: 	we hebben hem al hebben geloven ik dus 
A: 	ja 
A: 	oké dan zijn het nummer vijftien 
A: 	dit zijn met die bal bovenop en die staaf aan de voorkant 
B: 	ja dat zijn L 
B: 	dit zijn weer met dat balle bovenop 
A: 	even kijken 
A: 	ah dat zijn nummer zes 
A: 	dit zijn met die bal en die balk vooraan 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn met een balle erop 
A: 	ja 
A: 	dat zijn nummer drie 
