A: 	dit zijn die ik net zeggen 
A: 	met zo'n twee koker naar de linkerkant en dan zo'n toeter erop 
B: 	ja één lijken wel een projectie van een beamer zeggen maar 
B: 	zullen het kunnen zijn 
A: 	ja 
B: 	ja oké 
A: 	en dan nog zo'n tafel aan de rechterkant 
B: 	tafel aan de rechts kant ja dat zijn bij mij zijn dat L 
B: 	dan deze weer met die die die ronde verrekijker aan de zijkant met die beamerprojectie naar achter 
B: 	en dat tafel aan de rechts kant 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	die een met de beamer 
A: 	en het tafel 
B: 	ja zijn bij mij C 
B: 	dit zijn met de beamerstraal 
A: 	ja dat zijn nummer één 
A: 	de een met de beamer 
B: 	ja dat zijn bij mij A 
B: 	de beamerprojectie 
A: 	dat zijn dertien 
