A: 	ja ik hebben hem benoemen als puntmuts hij hebben zo'n gek vierkant 
B: 	ja ja ja 
A: 	ja 
B: 	en dan hebben die 
A: 	maar dan een heel groot en gek neus 
B: 	ja en een fliebel aan de achterkant 
A: 	ja rond wielt soort van aan aan de onderkant 
B: 	yes 
B: 	J 
B: 	dit zijn met de driehoekpunt bovenop het kop met die heel groot neus 
B: 	met het rond wieletje link onderin 
A: 	ja de puntmuts achtig 
B: 	puntmuts 
B: 	de puntmuts 
A: 	oké zes 
A: 	de puntmuts met de groot neus 
B: 	ja E 
B: 	dit zijn de puntmuts 
A: 	de puntmuts tien 
B: 	ja met de groot neus 
A: 	de puntmuts bij mij helemaal Linksboven 
B: 	ja G 
B: 	de puntmuts 
A: 	de puntmuts 
B: 	met de groot neus 
A: 	tien 
