B: 	ja 
B: 	ik hebben hem nu 
A: 	ja 
B: 	het zijn zo'n zwembaddinge met zo'n vierkant ondergrond 
A: 	ja met twee van die 
B: 	met zo'n 
B: 	ja van die kronkeltjes eraan 
A: 	ja van die haar 
B: 	ja 
B: 	ja 
A: 	ja met zo'n rond 
B: 	ja met zo'n rond dinge 
A: 	ja 
A: 	dan zijn het vijf 
A: 	het clown met die haart en dat rond neus 
A: 	met die vierkant eronder 
A: 	tenminste ik moeten aan een clown denken 
B: 	met die met die wokkel eraan zeggen maar 
A: 	ja 
B: 	ja 
B: 	J 
B: 	deze zijn die weer met die wokkel 
A: 	het clown ja 
B: 	ja 
A: 	dat zijn elf 
A: 	het clown 
A: 	met die wokkel 
B: 	P 
B: 	deze zijn die met die kronkel aan de zijkant 
A: 	dat zijn negen 
B: 	die wokkel 
A: 	het clown met de wokkel 
B: 	ja L 
