B: 	ja dit vinden ik echt een raar ding het zijn een kop 
B: 	en er zitten aan de linkerkant twee van die vierkant die steeds groot worden aan 
A: 	ja ja van die neus die ik en dan zitten er een vierkant 
B: 	ja en dan aan de ander kant een vierkant 
A: 	ja ja ja met een soort van raar knopding of zo of een spijker ja 
B: 	ja die 
B: 	spijker ja 
B: 	die 
A: 	ja ik denken dat het zo'n ejectionknop zo zoiets zijn 
B: 	dat kunnen ook 
A: 	ja dat dat zijn bij mij twee 
A: 	dit zijn die een met dat raar vierkant aan de rechts kant en dan die die ejectionknop 
B: 	ja 
B: 	die 
B: 	ja oké 
A: 	en dan die twee soort van vierkant neus die eruit komen 
B: 	ja 
B: 	G 
B: 	dit zijn die een met die ding op zijn zijn die naald wat je zeggen of die die die spijker 
B: 	met twee van die vierkant aan de zijkant die zo groot worden 
B: 	en het vierkant 
A: 	ja met die ejection 
B: 	ja die 
A: 	ja ja ja 
A: 	nummer negen 
A: 	dit zijn die een met dat vierkant met die ejectionknop en die twee vierkant neus die eruit komen 
B: 	ja D 
B: 	dit zijn die een met de hoe noemen je het ? die spijker in zijn hoofd en dat vierkantje 
A: 	ja die ejection met die twee met die vierkant neus die eruit komen 
B: 	en die 
B: 	ja Ejection ja wauw wat zijn mijn geheug goed vandaag 
B: 	ja 
A: 	nummer één 
A: 	degeen met dat vierkant schild die ejectionknop en die twee vierkant neuzen 
B: 	ja 
B: 	ja hier B 
