A: 	dit vinden ik een Angry Bird lijken 
A: 	die een soort beetje ja hanenkam 
A: 	en dan aan de zijkant twee een soort bek vormen het twee balk die een bek vormen 
A: 	en dan naar achteren toe eigenlijk een een staaf 
A: 	die een vleugel zullen kunnen voorstellen en dan onderaan nog een staart 
B: 	voorop hebben die twee van die balk of één groot 
A: 	hij hebben twee balk 
B: 	ja maar allemaal aan de zijkant maar ik denken dat dat zijn voorkant zijn 
A: 	ja inderdaad 
A: 	oké 
A: 	ja 
B: 	twee toch 
A: 	ja 
B: 	oké 
B: 	dat zijn even kijken dat zijn I 
B: 	dit zijn dat dat angry die Angry Bird zeggen maar 
A: 	Angy Bird 
B: 	met die twee ding aan aan de zijkant wat denken ik de voorkant van hem zijn 
A: 	ja 
B: 	en dan met het slurf erachter 
A: 	ja 
A: 	dat zijn nummer twee bij mij 
A: 	dit zijn de Angry Bird 
B: 	kijken 
B: 	oké dat zijn M 
B: 	dit zijn die Angry Bird 
A: 	oké 
A: 	dat zijn nummer negen 
A: 	dit zijn de Angry Bird 
B: 	even kijken waar dat zijn F 
B: 	dat zijn niet dezelfde plek 
B: 	dit zijn die Angry Bird 
A: 	ja dat zijn nummer zes 
