A: 	oké ik hebben zo'n lang spriet omhoog 
A: 	want je hebben dat basisvormpje weer en dan hebben ik zo'n lang spriet omhoog 
B: 	ja 
A: 	die een beetje zo gaan 
B: 	oké 
A: 	hij hebben 
B: 	een soort van kegel 
A: 	ja 
A: 	en hij hebben ook zo'n soort neus 
B: 	oké 
B: 	en die zitten in een hoek van negentig graad 
A: 	ja 
B: 	oké en dan zitten er een vierkant allemaal vierkant komen ja oké 
A: 	ja ja 
B: 	oké dan weten ik welk het zijn 
A: 	en hij hebben aan de ander kant hebben die ook nog zo'n uitsteeksel een beetje ja ja precies 
B: 	zo'n armding 
B: 	oké 
B: 	dat zijn E 
B: 	nee 
B: 	oké 
B: 	ik hebben weer die twee toef de een staan zo en de ander staan zo van die 
A: 	ja 
B: 	bowlingkegelsachtig ding en dan hebben je hier hebben je vierkant die daar allemaal zo uit komen 
A: 	ja 
A: 	en aan de ander kant hebben je dat raar armp 
B: 	ja 
A: 	ja 
A: 	oké dat zijn elf 
A: 	ik hebben weer die met die lang neus die twee kegel dus die lang neus als kegel en het de bovenkant een kegel die uitsteken 
A: 	en dan aan één kant hebben ik weer die blok allemaal als armp 
B: 	die 
B: 	wachten 
A: 	en dat ander 
B: 	waar zijn die 
A: 	bij mij staan die rechts 
A: 	aan de rechterkant 
B: 	daar 
A: 	een beetje in het midden 
B: 	oké dus de kegel het armp en de blok 
A: 	ja 
B: 	ja 
B: 	dat zijn J 
B: 	oké ik hebben de twee de twee 
B: 	ding zo en de de blokjestoeterachtig iets 
A: 	welk twee ding 
B: 	die die spriet die bowlingkegel 
A: 	ja die ja 
A: 	die twee bowlingkegel en dan die die vierkant en dat raar armp ja 
B: 	ja 
A: 	dat zijn negen 
A: 	ik hebben die groot 
B: 	welk groot 
A: 	ja die met die kegel 
B: 	die de kegel 
A: 	dus die hebben we net 
B: 	oké dat zijn B 
B: 	oké ik hebben de kegel 
A: 	ja 
A: 	oké 
A: 	ja zijn nummer vier 
