B: 	oké dit zijn een soort van ja kop met twee handvaat denken ik 
B: 	staan boven op één of een vierkant ding 
B: 	zitten een rood rond plaat aan de voorkant 
A: 	ja ja een ja een soort staart zijn het haast 
B: 	ja precies ja 
A: 	ja 
A: 	vijf 
A: 	dit zijn dat kop op dat bord met ook een bord van voren en die soort staart 
B: 	met die spriet 
B: 	ja 
A: 	ja 
B: 	J 
B: 	ja de ding met die sprie aan de zijkant die op een op een vierkant plateau staan 
A: 	die ja precies dat zijn one's elf 
A: 	dit zijn diegene met het platform en bord voor en de spriet 
B: 	ja 
A: 	aan al twee de kant 
B: 	P 
B: 	dit zijn weer die op een op een plateau staan met met die sprie aan de zijkant sorry 
A: 	ja ja ja ja 
A: 	negen 
A: 	dit zijn op het platformp met 
B: 	met die spriet 
A: 	ja en het bord voor 
B: 	L 
