A: 	ik hopen dat we het goed doen 
B: 	one's lipsbreath zijn aan de voorkant zitten een cirkel er zitten een soort van 
B: 	aan allebei de kant drie aan elkaar geplakken diaman 
A: 	ja ja ja ja 
A: 	ik weten al 
B: 	oké 
A: 	vijf 
A: 	dit zijn die Pippi Langkous 
A: 	met die die bollet 
B: 	ja 
A: 	die drie ding 
B: 	oké dat zijn J 
B: 	dit zijn de Pippi Langkous 
A: 	ja elf 
A: 	Pippi Langkous 
B: 	ja dat zijn P 
A: 	het zijn altijd even zoeken 
B: 	ja 
B: 	Pippi Langkous 
A: 	ja negen 
A: 	Pippi Langkous 
B: 	en dat zijn L 
