B: 	ja het lijken wel of dit ding twee van die oog hebben 
B: 	zeggen maar die die blok die steeds groot worden en dan bovenop nog een soort paddenstoel of ik weten niet wat het precies zijn 
A: 	en antenne of zoiets ja 
A: 	okan ja ja nummer twee zijn het dan 
A: 	ja dit zijn dan eigenlijk zo'n blok met zo'n antenne bovenop zo zo'n paddenstoel en dan eigenlijk met die twee uitsteek ding ja 
B: 	en die twee oog die een beetje op een ja dat zijn dan en dan hebben je nog die plaat aan de zijkant ja dat zijn dan G 
A: 	ja die zo'n bril of achtig gebeuren zijn verrekijker ja 
A: 	ja die plaat nog erbij ja ja ja 
B: 	dit zijn weer die een met die paddenstoel bovenop en dat plak kaas of zo of weten ik veel wat aan de zijkant 
A: 	ok 
A: 	aan de zijkant en dan met die blok die er uit gaan die twee ok dat zijn dan nummer negen 
B: 	ja met die met die blok ja 
A: 	ja dat zijn die met die paddenstoel en met de kaas plak aan de zijkant en met die uitgekuubte kubus ja 
B: 	ja 
B: 	ja dat zijn dan D 
B: 	ja dit zijn die met die paddenstoel bovenop en dat cheddar plak aan de zijkant en die blok die steeds groot worden 
A: 	ja 
A: 	ja dat zijn dan nummer één 
A: 	ja dit zijn die paddenstoel bovenop en dat kaasplak aan de zijkant en die uitgeklapte kubus ja 
B: 	ja ja dat zijn B 
