B: 	oké 
B: 	ik hebben een vierkant als ondergrond en door het het object heen zitten zitten een staaf lijken het wel met drie van die balle aan de uiteinde 
A: 	ja ik hebben hem 
B: 	ja 
B: 	oké 
A: 	dat zijn nummer vijf 
A: 	oké dit zijn degeen die op een soort van plaat staan met een één ja aan beide kant een soort drie bollet ik noemen dat zelf een beetje kraalt 
B: 	ja 
B: 	ja ik hebben hem al 
A: 	yes helemaal goed 
B: 	dat zijn J 
B: 	dit zijn die met het plateau aan de onderkant en die drie kraal aan beide kant 
A: 	yes 
A: 	dat zijn elf 
A: 	dit zijn weer op zo'n op zo'n soort van een een plat ja one's ik komen even niet op 
B: 	plateau 
A: 	ja gewoon ja plateau inderdaad en dan met die kraal zeggen maar 
B: 	ja 
B: 	P 
B: 	dit zijn de plateau met de drie kraalt aan beide kant 
A: 	oké 
A: 	die hebben ik op negen 
A: 	dit zijn weer op zo'n op zo'n plateau met dan de kraal aan de zijkant 
B: 	ja L 
