A: 	jij weer 
B: 	hij hebben aan de het hij staan eigenlijk ook gewoon op een op een vierkant op een blauw vierkant 
A: 	ja met die diamant zeggen maar of zo 
B: 	ja ja ja aan allebei de kant 
A: 	ja 
A: 	oké dan hebben ik dat 
A: 	nummer vijf 
A: 	ik moeten drukken 
A: 	ja diamantenoren 
A: 	en dan zo'n zo'n bord of zo als een neus 
B: 	ja ja ja 
B: 	J 
B: 	weer die op een vierkant plaat staan en aan allebei de kant zo'n diamant 
A: 	ja 
A: 	elf 
A: 	ja dat dat rond en dan die diamant 
B: 	ja 
B: 	P 
B: 	weer die op op dat vierkant staan en met die diamant 
A: 	ja 
A: 	negen 
A: 	de diamantenoren en dan dat rond zeggen maar 
B: 	ja 
B: 	L 
