B: 	ik hebben in principe een mokvormig paasding met een cirkel daartegenaan plopken waar dan een soort tui aan zitten aan beide kant zitten 
B: 	van die ruitvormig dinge het 
A: 	ja 
B: 	yes 
A: 	nummer vijf 
B: 	ja 
A: 	dan hebben ik weer de koffiemok die aan de voorkant een soort van plat satelliet hebben 
A: 	en aan de zijkant twee handvat met drie bollet 
B: 	ja 
B: 	zeggen maar ruitvormig dinge toch op een plateau ja dat zijn bij J bij mij 
A: 	ja die 
A: 	ja 
B: 	ik hebben de basisvorm met een plat cirkel 
B: 	en aan weerszijde die drie klein rui en dan staan het op een soort plateau of ja een een bodemp 
B: 	er zitten in principe de enig waarbij er aan weerszijde van de basisvorm drie klein rui zitten 
A: 	ja 
B: 	en dan vooraan zitten een plat cirkel 
A: 	ja 
A: 	ja ja 
A: 	dat zijn nummer elf hier 
B: 	yes 
A: 	dit zijn de mok met twee of handvat aan beide kant die maken zijn van drie bollet 
B: 	ja 
A: 	die 
B: 	en dan een vlakke cirkel toch ? ja dat zijn hetzelfde 
A: 	ja 
A: 	ja 
B: 	P 
B: 	ik hebben degeen met de plat cirkel voor 
B: 	en dan de ruitvormig uitsteekseltjes aan weerszijde 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn de mok met de handvaat die drie bollet hebben aan beide kant 
B: 	ah 
B: 	en dan een plat cirkel voor 
A: 	ja 
B: 	yes L 
