A: 	ja 
A: 	even kijken ik hebben het figuur met one met de verticaal balk laten maar zeggen 
B: 	de verticaal balk 
A: 	die zo rechtop staan en een bal bovenop 
B: 	die en twee armp 
A: 	ja 
B: 	oké dat zijn D 
A: 	ja 
B: 	deze zijn met het balk aan de voorkant en een ei bovenop 
B: 	hebben we deze al hebben 
B: 	mij wel 
A: 	even kijken 
A: 	sorry een balk aan de 
B: 	hij er liggen een ei bovenop dat zijn er niet veel 
A: 	even kijken hoor 
A: 	daar ja met die verticaal balk weer 
B: 	ja 
A: 	ja dat zijn bij mij nummer vijftien 
A: 	ik hebben die met die balk en dat ei bovenop 
B: 	ja 
B: 	dat zijn L 
B: 	ik hebben dat een ding met het ei bovenop en het balk aan de voorkant 
A: 	ei bovenop balk ja nummer zes 
A: 	ik hebben die met dat ei bovenop en die verticaal balk aan de rechterkant 
B: 	dat zijn J 
B: 	ik hebben die een met het ei bovenop en het verticaal staaf ervoor en het 
A: 	nummer drie 
B: 	ja 
