A: 	oké één zelfde haar maar een ander dinge 
A: 	daarnaast hebben die aan de rechtervoorkant een bolletje erop zitten waaroverheen zo'n ijstheestampertje doorheen gaan 
B: 	ja hij zijn doorboren zeggen maar 
A: 	ja ja ja 
B: 	ja ja ja ik weten welk het zijn ja 
A: 	bij mij zijn één 
B: 	bij mij zijn het F 
B: 	dus één F 
B: 	oké dit zijn de ijstheestaafje door de neus 
A: 	oké dat zijn welk bij jou 
B: 	d 
A: 	D van ? oké 
B: 	Dirk 
A: 	d vijf 
A: 	ijstheestamper 
B: 	ja even kijken 
B: 	ja bij mij A bij jou 
A: 	vier 
B: 	A vier 
A: 	yes 
B: 	dit zijn ijstheestampertje 
A: 	ja 
B: 	I 
A: 	I vijf 
A: 	ijstheestamper 
B: 	H 
B: 	en bij jou 
A: 	zes sorry 
B: 	H zes 
B: 	oké ijstheestamper 
A: 	ja 
B: 	I 
A: 	I vijftien 
