B: 	okee 
B: 	deze ik moeten bij deze wel een beetje denken aan een soort kop met een staart aan de achterkant 
B: 	en aan de voorkant zijn het net alsof die een soort van alsof die in een tafel hangen 
B: 	met een omgedraaide piramide op het tafel 
B: 	afsnijden 
B: 	ja dus kenmerken zijn hiervoor wel een beetje een staart aan de achterkant en een soort tafel aan de voorkant 
B: 	en het zijn niet degeen met het rond tafel 
A: 	wow 
A: 	zijn wachten een soort van tipiten bovenop 
A: 	of hebben we die al hebben 
A: 	ik weten niet veel 
B: 	nee het zijn zonder een tipiten 
A: 	nee 
A: 	ah wachten iets met een tafel zeggen je toch 
B: 	ja ja 
A: 	wachten kunnen je hem nog een keer omschrijven 
B: 	ja een kop met linksachter een soort staart 
A: 	je 
A: 	Linksboven zeggen maar boven dat plateau 
B: 	ja 
B: 	ja precies 
A: 	ah en een kop op de tafel zo'n schaal 
A: 	aan de rechterkant 
B: 	even kijken 
A: 	zeggen maar die twee poot 
B: 	ja 
A: 	die zien je 
A: 	ja dan 
B: 	ja je zien twee poot inderdaad en dat zijn het tafel 
A: 	dat zijn het tafel 
A: 	ja 
A: 	en dan daarbovenop staan een soort van schaalt 
B: 	ja ja precies 
A: 	ja okee nee dan weten ik welk 
A: 	ik gaan voor nummer vier 
A: 	okee dit gaan dus over het tafel die een beetje bovenaan zweeven op het kop 
A: 	met de twee poot 
A: 	het gek staart daarachter 
A: 	en het kop of het schaalt erop 
B: 	ja 
B: 	okee dat zijn p 
A: 	ja 
B: 	dit zijn degeen met een klein staart aan de achterkant en een tafel aan de voorkant met een schaalt 
B: 	erop 
A: 	waar staan die 
B: 	where did it go ja 
A: 	ik hebben hem ik mijn hoofd ik hebben hem in mijn hoofd ah daar 
A: 	dat zijn nummer elf 
A: 	deze zijn met het tafel met de twee poot 
A: 	staart aan de achterkant en een schaalt erop 
B: 	ja 
B: 	zoeken zoeken zoeken zoeken waar zijn je 
B: 	dat zijn voor mij n 
B: 	hee ze verspringen 
B: 	ik hebben hier een diegene met dat staart aan de achterkant 
B: 	en een een tafel aan de voorkant met een schaalt erop 
A: 	ah 
A: 	nummer veertien 
A: 	tafel twee poot schaalt bovenop 
B: 	ja 
A: 	staart 
B: 	dat zijn d 
