A: 	oké nou deze hebben twee van die raar net iets dikk worden , aan het uiteinde weer weinig dik worden , aan de bovenkant en aan de linkerkant schuin zijkant 
A: 	en aan de rechterkant hebben hij zo'n soort van kubus drie het lijken of dat dat er zegmaar zo'n kubus die steeds groot worden 
B: 	ja ja 
B: 	ja en nog een soort van fliebel aan de zijkant 
A: 	ja precies 
B: 	ja 
B: 	ja oké dat zijn B 
A: 	oké 
B: 	ja dit zijn weer die een met die soort van hendel en die vierkant uitschuif blok aan de rechterkant 
A: 	vierkant uitschuifblokjes 
B: 	ja 
B: 	die met verschillend mat zegmaar 
A: 	ja de die ja dat dat die met die 
B: 	ja 
B: 	dus soort van een hendel bovenop en aan de zijkant 
A: 	ja ja ja dat zijn zes 
B: 	ja 
B: 	oké 
A: 	die ja 
A: 	oké ja dit zijn weer met twee van die hendel aan de bovenkant en de zijkant 
A: 	en dan zo'n kubus dat groot worden 
B: 	ja ja 
A: 	aan de rechterkant 
B: 	ja dat zijn I 
A: 	ja 
B: 	ja dit zijn ook met dat met die hendel en dat uitschuiven vierkant blok 
A: 	uitschuivend ja die ja 
A: 	dat zijn veertien 
A: 	deze zijn weer met die twee handvat boven en onder en die kubus die groot worden 
B: 	ja even kijken waar zitten hij ja dat zijn A 
B: 	dit zijn weer met die twee hendel boven en link 
A: 	en de kubus ja 
B: 	en dat uitschuiven blok 
B: 	ja 
A: 	oké ja zeven 
