A: 	deze hebben een driehoek op zijn hoofd 
B: 	ja 
B: 	oké 
B: 	en zo'n gek ding aan de voorkant 
A: 	ja zo'n 
B: 	en een bolle eronder 
A: 	ja 
A: 	aan zijn voet of zo 
B: 	ja oké 
A: 	ja 
B: 	dan zijn het J 
B: 	dit zijn weer die met die driehoek op zijn hoofd 
A: 	ja 
B: 	en dat toef hier zo en dat bolle aan de onderkant 
A: 	ja 
A: 	dat zijn zes 
A: 	ik hebben diegene met de driehoek op zijn hoofd 
B: 	ja en met het bolle aan de onderkant 
A: 	ja ja 
B: 	oké dat zijn E 
B: 	oké ik hebben die met het driehoek op zijn hoofd 
A: 	ja 
A: 	ja oké 
B: 	en een bolle aan de onderkant 
A: 	ja 
A: 	zijn nummer tien 
A: 	oké ik hebben degeen met de driehoek op zijn hoofd die zitten bij mij links bovenin 
B: 	ik hebben de driehoekhoofd 
A: 	ja 
A: 	ja 
A: 	oké dat zijn nummer tien 
