B: 	ha ja dit zijn een ding met twee soort van kegel aan de zijkant 
B: 	en een langwerpig blok bovenop en een soort van paaltje dat eruit steken 
A: 	even kijken twee kegel aan de zijkant 
A: 	paaltje dat Erboven uitsteekt 
B: 	ja een soort van aan de voorkant zitten een ding met een soort van 
A: 	ja zo'n soort van antenne zijn het 
A: 	en die twee ding aan de zijkant zijn een soort vierkant die telkens klein worden 
B: 	ja 
B: 	nee 
B: 	dat zijn niet degeen die ik bedoelen 
A: 	oké 
B: 	oké nee het paaltje oké 
B: 	zeggen maar je hebben zo het kop en aan de zijkant zitten soort van kegel zo 
B: 	daarbovenop liggen een een langwerpig blok 
A: 	ja 
B: 	en aan de voorkant steken een driehoek uit waar een soort van paaltje op staat 
A: 	ja ja ja ik vinden het op een soort van ruimteschip lijken of zo het zijn in ieder geval dat kop met dan een soort van gebouwtje Erboven als je het ja 
B: 	ja precies 
B: 	ja die 
A: 	dat zijn acht 
A: 	dit zijn ja ik vinden het een soort van spaceschip maar dat zijn dat komme met dus dat soort gebouw aan de bovenkant en twee van die vleugel aan de zijkant 
B: 	met ja precies 
B: 	E 
B: 	dit zijn weer die vag met dat soort van huis bovenop en wat jij een spaceship vinden 
A: 	ja ja ja ja oké ja eens even kijken waar die in principe uithangen ja dat zijn één 
A: 	dit zijn die met dat gebouw bovenop 
A: 	veel mijn spaceship 
B: 	ja 
B: 	even zoeken waar die zijn 
B: 	E 
B: 	dit zijn weer het spaceship 
A: 	yes yes yes yes oké 
A: 	dat zijn zestien 
A: 	dit zijn mijn spaceshuttle 
A: 	met 
B: 	ja O 
