A: 	deze staat op een voet eigenlijk 
A: 	en hij hebben een twee van die driehoekjes bovenop 
B: 	ja 
B: 	ja met die met die 
A: 	en aan die twee driehoek zitten nog twee ding naar de zijkant 
A: 	zien je dat 
B: 	nee 
A: 	en hij staat niet per se op een voetstuk maar echt een soort een soort echt een voet een menselijk voet zeggen maar met een enkel en dan een voet 
B: 	het zijn niet dat voetstuk nee 
B: 	oké 
A: 	en hij hebben bovenop aan de achterkant 
B: 	met die ruit aan de achterkant 
A: 	twee van die ruiten ja 
B: 	het lijken een beetje op de staart van een vliegtuig ja 
B: 	oké 
A: 	ja en dan aan die twee ruit zitten nog twee ding naar de zijkant 
B: 	ja zitten nog twee kubus aan de zijkant 
A: 	oké 
B: 	oké dat zijn bij mij zijn dat M 
B: 	dan hebben we deze dit zijn weer met die die op dat voet staan 
B: 	en met het de ruit aan de achterkant wat een beetje op de achtervleugel van een vliegtuig lijken 
A: 	waar staan die ? waar staan die 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	met dat voe en die vliegtuigvleugel op de achterkant 
B: 	ja dat zijn H 
B: 	dit zijn die met die vliegtuigachtervleugel op het voe 
A: 	dat zijn nummer elf 
A: 	de een met het voe en de vliegtuigvleugel 
B: 	het voe en de vliegtuigvleugel 
B: 	ja dat zijn D 
B: 	de vliegtuigachtervleugel op het voetstuk of op het voe 
A: 	ja dat zijn veertien 
