B: 	het zijn die een die een soort van schoorsteen aan de zijkant hebben en hij hebben twee 
A: 	wachten welk zijkant 
B: 	link 
A: 	ja 
A: 	zijn dat zo'n schuin ? die bedoelen je of een ander 
B: 	gaan ik even over 
B: 	hij zijn bijna horizontaal en dan gaan die recht omhoog 
B: 	maar dat zijn niet het belangrijk hij hebben twee punt bovenop 
B: 	dan hebben die een soort van slurf naar beneden 
B: 	en er zitten een vlak doorheen 
A: 	wachten even 
A: 	ja ja dan weten ik welk je bedoelen 
B: 	ja wel wel 
A: 	ja dat zijn nummer zes 
A: 	bij mij zijn het diegene met die slurf 
A: 	en de hoe noemen je dat ook alweer ? het schoorsteen volgens mij 
A: 	die er zo uit steken 
A: 	of aan de ander kant voor jou 
A: 	met die twee dinget bovenop 
B: 	ja ik moeten even met dat vlak erin 
A: 	ja 
A: 	ja dat zijn wel een goed omschrijving 
B: 	ja C 
B: 	ja het lijken weer op zo'n bikinibroekhuis met zo'n slurf aan de voorkant en het vlak erin 
B: 	ze lijken allemaal op bikinibroekhuis 
A: 	even kijken wachten even 
A: 	ja die dat vlak zo erin 
B: 	ja 
A: 	ja nummer dertien 
A: 	dit zijn degeen met de slurf en zo'n plateau erdoorheen 
B: 	ik weten welk je bedoelen maar waar zijn die 
B: 	ja ik hebben hem vinden 
B: 	het zijn J 
B: 	het zijn die met dat vlak erdoorheen 
A: 	ja 
A: 	negen 
B: 	of 
A: 	dit zijn degeen met de slurf en de uitsteeksel met die balk en met die plaat erdoorheen 
B: 	ja N 
