B: 	deze hebben aan de rechterbovenkant van het kop een dobbelsteen zonder punt erop 
B: 	en aan de onderkant een staaf met daaraan vast een driehoekig plateau 
A: 	ja 
A: 	ja die zijn aan de onderkant ook het lang of niet ja 
B: 	ja 
A: 	okee dat zijn nummer dertien 
A: 	dit zijn weer degeen die aan de onderkant van het beker het lang zijn 
A: 	die ook een soort kubus rechtsboven hebben staan 
A: 	en ook een soort steelt Linksboven 
B: 	ja en dan die driehoek aan de onderkant 
A: 	ja 
B: 	ja dat zijn k 
B: 	dobbelsteen aan de rechterbovenkant en aan de onderkant een uitsteeksel met daaraan een driehoekig plateau 
A: 	ja 
A: 	dat zijn nummer twaalf 
A: 	dit zijn weer dat lang ding van onderaan waar zo'n driehoek onderaan zitten 
B: 	yes met een met een ja dobbelsteen Erboven 
A: 	vierkant rechtsboven 
A: 	ja 
B: 	dat zijn n 
B: 	dobbelsteen aan de rechterbovenkant en aan de onderkant dat driehoekig plateau 
A: 	ja 
A: 	zeven 
A: 	dit zijn weer de dobbelsteen rechtsboven 
B: 	ja en dan 
A: 	en onderaan de vierkant 
A: 	driehoekig sorry 
B: 	driehoekig ja 
B: 	dat zijn k 
