B: 	ja dit moeten mij een beetje denken aan zeggen maar een plank wat dan ophangen zijn waar 
B: 	zeggen maar gat in zitten waar een pan in kunnen en dat zijn dan dat rond ding en dat er nog een bak op staan 
A: 	o 
A: 	Wow dat zijn echt een goed omschrijving ik weten echt in die weten ik echt niet wat ik moeten zien maar nu je het zeggen zien ik het meteen ja bij mij zijn dat zestien 
B: 	wo 
B: 	o 
B: 	o wat een fijn 
B: 	ok bij mij O 
B: 	dan moeten jij klikken 
A: 	o ja ja 
A: 	dit zijn die een die jij omschrijven met dat dinge waar dan de pan in zitten 
B: 	o die ja dat zijn P bij mij 
A: 	bij mij veertien 
B: 	ok 
B: 	o dit zijn weer dat plank met die pan er in 
A: 	ja zijn veertien bij mij 
B: 	ja 
B: 	ok bij mij P 
A: 	ik moeten klikken ja 
B: 	echt telkens 
A: 	dit zijn die pan met die er doorheen zijn 
B: 	die N 
A: 	ja bij mij acht 
A: 	o ja ja 
B: 	dan moeten ik klikken 
A: 	o o 
B: 	dit zijn het plank met de pan 
A: 	plank met de pan even kijken waar die staan o ja tien bij mij 
B: 	ah 
B: 	ok bij mij I 
B: 	ok 
A: 	dit zijn die pan die er doorheen zijn 
B: 	o daar D 
A: 	ja zestien bij mij 
