A: 	Alright 
B: 	oké 
A: 	jij 
B: 	deze dit ding staan zeggen maar veel op een driehoek 
B: 	en dan zijn het dat ding waarop die staan zijn een beetje draaien 
B: 	zeggen maar aan de onderkant hebben je als basis zo'n driehoek 
A: 	ja ja ja ja ja ja ja 
A: 	zeggen maar de enig die echt nog zo lang zijn 
B: 	ja 
A: 	oké en dan boven zoiets en dan zo'n vierkan 
B: 	boven blok 
B: 	ja 
A: 	oké 
A: 	dan hebben ik nummer vier 
A: 	dit zijn die dit kunnen eigenlijk een trofee zijn trouwens 
A: 	weten je met met met dat driehoekplatform zeggen maar en dan 
B: 	ja kloppen dat denken ik ook al ja 
A: 	dat zijn eigenlijk wel jij moeten drukken 
B: 	A 
B: 	het zijn weer die beker zeggen maar die op zo'n driehoek staan 
A: 	ja 
A: 	tien 
B: 	ja jij moeten drukken 
A: 	die die trofee 
A: 	met dat driehoekplatform 
B: 	ja 
B: 	L 
B: 	weer die trofee op de driehoek 
A: 	vier 
A: 	de trofee met dat driehoekplatform 
B: 	F 
