A: 	ok deze hebben 
A: 	twee staf aan de zijkant waar een bolle op zitten en aan de achterkant zitten een schuin vierkantje wat een beetje verstpen zitten 
A: 	en daar komen ook een ja iets uit 
B: 	o ja een soort van schermpje aan de achterkant waar ja dat zijn K 
A: 	ja 
B: 	deze hebben zegmaar weer dat liggen schermpje er achter en twee uitstekend ja wat zullen je het kunnen noemen spijker iets in die richting 
A: 	ja negen 
A: 	deze hebben weer die spijker aan de zijkant dus twee en dan dat schermpje erachter 
B: 	even kijken waar die staan F 
A: 	o nee 
B: 	o Jee 
B: 	deze hebben zegmaar dat liggen schermpje en twee van die spijker aan beide kant 
A: 	ja 
A: 	drie 
A: 	die met die twee spijker aan de zijkant en het schermpje er achter en dat gleufje dinge 
B: 	even kijken L 
B: 	twee spijker aan de zijkant liggen schermpje achter 
A: 	vijf 
