B: 	dit zijn een mok met een zweven ei Erboven het ei wat er of aan de voorkant staan iets veel naar rechts 
B: 	hij worden niet ondersteunen door iets 
B: 	aan de linkerkant opsteken er een een hoe zeggen je dat ? een zo'n zo'n zo'n driehoekding uit zeggen maar zo'n staaf 
A: 	ja 
B: 	er zitten een bijzonder lepel in die zo lopen en dan een rechthoekig dinge in het midden 
A: 	ja 
A: 	dat zijn nummer veertien 
A: 	dit zijn er één waar twee uitsteeksel bovenin staan één balk en één zo'n raar figuurtje 
A: 	komen er aan de linkerkant een armp uit en aan de voorkant zitten een ei 
B: 	ja 
B: 	en dat dat ding lopen zo zo en dan weer zo 
A: 	ja 
B: 	zeggen maar wat erin zitten en dan die die 
A: 	ja en dan daarnaast staan een recht balk 
B: 	ja 
B: 	dat zijn bij mij N 
B: 	dit zijn het zweven ei aan de voorkant een zitten een lineaal in 
B: 	er zitten die gek lepel in 
B: 	en een klein driehoek die er aan de linkerkant uit opsteken 
A: 	even kijken denken dat ik hem hebben maar dan er zitten geen driehoek die eruit steken 
B: 	ja niet een driehoek maar zo'n driehoekig balk 
A: 	er zitten een ei aan de voorkant 
B: 	er zitten een ei aan de voorkant een 
A: 	er lopen een balk door dat ei heen 
B: 	nee dat nee nee nee 
A: 	oké dan zijn het een ander even kijken ei 
B: 	nee 
A: 	ja 
A: 	alleen zitten twee figuurt die daarbovenuit steken 
B: 	die 
B: 	er zitten twee figuurt in een lineaal en die heel gek lepel en er opsteken aan de linkerkant nog een dinge uit 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	deze zijn met dat ei wat ervoor zweeven en met dat lineaal wat eruit komen en dat ander raar figuur en dan nog zo'n balk er zo 
B: 	dinge 
B: 	dat zijn bij mij G 
B: 	dit zijn die met zweven zweven ei de lineaal de gek lepel en het klein armp aan de linkerkant 
A: 	ja 
A: 	dat zijn nummer vijf 
A: 	deze zijn met dat ei aan de voorkant lineaal Erbovenin en nog zo'n ander raar ding Erbovenin en zo'n armp aan de links kant 
B: 	ja met die heel gek lepel ook 
A: 	ja 
B: 	ja dat zijn bij mij J 
