B: 	oké deze hebben drie bollet uitsteeksel aan allebei de kant 
A: 	ja 
B: 	en er zitten een vlak onder 
A: 	ja en zo'n plat rond ding aan de voorkant 
B: 	ja 
A: 	ja oké dan zijn het vijf 
A: 	dit zijn die met die drie bollet aan allebei de kant die op zo'n ding staan 
B: 	ja 
B: 	oké 
B: 	dat zijn J 
B: 	oké ik hebben die die met die drie bolal aan de zijkant aan allebei de kant 
A: 	ja 
A: 	en dat plat ding aan de voorkant 
B: 	ja 
A: 	ja oké dat zijn elf 
B: 	oké 
A: 	ik hebben die met die drie bollet aan allebei de zijkant en die ding eronder 
B: 	ja 
B: 	dat zijn P 
B: 	dat zijn staan ze op dezelfde plek 
B: 	oké ik hebben die met die drie gelijk kraal aan de buitenkant 
A: 	ja 
A: 	en dat ding waar die op staat 
B: 	ja 
A: 	ja dat zijn negen 
A: 	dit zijn die met die drie bollet aan allebei de kant 
A: 	en dat plat ding voor 
B: 	ja 
B: 	oké 
B: 	dat zijn L 
