A: 	kop 
A: 	en er zitten een driehoek op 
A: 	die zijn helemaal af 
B: 	er zitten een driehoek op 
A: 	ja 
B: 	en zijn dat een 
A: 	klein piramide 
B: 	een piramide 
A: 	ja een klein 
B: 	ja 
B: 	oké volgens mij zijn dat er maar één 
A: 	ja precies dus 
B: 	ja 
B: 	dat zijn J 
A: 	ja 
B: 	oké dit zijn het kop waar de piramide op de bovenkant staan dus daar zijn er maar één van 
A: 	ja 
A: 	dat zijn zes 
A: 	mijn hebben een zitten een driehoek op mijn 
A: 	er zitten een driehoek op 
A: 	daar zijn er maar ook maar één van 
B: 	ja 
B: 	met een soort van kegel ook aan de linkerkant die heel puntig afloopt 
A: 	ja precies 
B: 	oké dat zijn E 
A: 	precies 
B: 	er zitten een driehoek op 
B: 	en hij zijn nog heel 
A: 	ja 
B: 	dus er zijn er maar één van 
A: 	met de raar vorm aan de voorkant die ik niet kunnen uitleggen 
B: 	ja 
A: 	dat zijn tien 
A: 	en hij zitten helemaal nee sorry het zijn die een met de driehoek erop 
B: 	ja en al rotzooi eronder omheen 
A: 	ja rotzooi eronder 
B: 	ja 
B: 	ik ik hebben hem ook zelf echt voor mezelf als kutzooi ik hebben alles één woord geven zodat ik in die in die machine ook gewoon in die MRI ook gewoon gelijk wat hebben 
A: 	ja 
A: 	ja ja 
B: 	dat die gewoon 
B: 	dat zijn G 
B: 	ja 
B: 	waar de driehoek op staat 
A: 	waar de driehoek op staat 
A: 	ja die 
A: 	ja en de rond rotzooi eronder 
B: 	ja 
A: 	tien 
