A: 	dit zijn ook volgens mij één die ik in ieder geval het één hebben dat zijn een kop en daar komen er dan een driehoek bovenuit met de punt naar boven 
A: 	en er zitten nog een blok voor een blok onder een blok aan de zijkant 
B: 	ja ik weten welk je bedoelen 
B: 	J 
B: 	dat zijn echt een heel vag 
B: 	soort van soort van driehoek bovenop 
B: 	en een blok dat aan de voorkant eruit steken en een 
A: 	zijn dat 
A: 	ja zijn dat met die punt 
B: 	ja 
A: 	ja 
A: 	dat zijn one's zes 
A: 	dit zijn degeen met de vierkant met de punt omhoog en dan die blok nog voor en achter ook nog wat ding beneden 
B: 	even opnieuw zoeken 
A: 	snapen je welk ik bedoelen 
B: 	vierkant met de punt omhoog 
A: 	ja 
A: 	de driehoek 
A: 	of de Driekhoek bedoelen ik zo ja 
B: 	met die ding die ding eruit steken en dan 
A: 	ja 
A: 	de driehoek met de punt omhoog daar komen boven het koppie uit dan hebben je nog een soort raar blok aan de voorkant je hebben nog 
B: 	die 
A: 	ja 
B: 	ja oké met een soort van piramide bovenop 
B: 	E 
B: 	dit zijn weer met met die dat driehoek die eruit steken die punt 
A: 	ja 
B: 	en één of ander raar blok aan de voorkant en 
A: 	ja 
B: 	ja 
A: 	dat zijn tien 
A: 	dit zijn degeen met punt de driehoek die 
B: 	ja met die raar blok 
A: 	ja 
B: 	G 
B: 	de de punt die eruit opsteken met zo'n raar blok dat aan de voorkant uit komen 
A: 	ja ja ja ja 
B: 	en de twee ander dinget 
A: 	ja 
A: 	dit zijn tien 
