A: 	dit zijn die ik net zeggen met die raar vulkaan op zijn hoofd 
B: 	die ja 
A: 	ja met dat ding en dan die twee aan de zijkant 
B: 	ja 
B: 	J 
B: 	wachten 
A: 	en die staan best wel dicht bij het midden maar veel naar links 
B: 	ik hebben we hebben de verkeerd doen denken ik 
A: 	wat hebben je doen 
B: 	ik denken jij hebben met een driehoek op het hoofd maar jij zeggen die met vulkaan op het hoofd 
A: 	shit ja 
B: 	of niet 
B: 	met een isteken aan de rechterkant 
A: 	ja 
B: 	ja ik hebben het verkeerd ah oké 
A: 	oké 
B: 	dit zijn die een met isteken aan rechterkant 
A: 	met die die een beetje op een eend lijken van Flappy Bird maar dan met een uitlaat 
B: 	ja 
A: 	ja 
B: 	nu je het zeggen 
A: 	oké dat zijn twee 
A: 	dit zijn die een met dat istek aan de zijkant 
B: 	ah M 
B: 	het isteken 
A: 	even zoeken 
A: 	ja met die dat half driehoekding op zijn hoofd 
B: 	ja trapeziumen 
A: 	dat zijn nummer negen 
A: 	met dat istek weer 
B: 	istek 
B: 	F 
B: 	het isteken 
A: 	nummer zes 
