A: 	oké 
A: 	ik hebben one's dat plaat en het lijken een beetje alsof die aan de rechterkant een neus hebben met daar een een paal doorheen 
A: 	dus zo'n rond en daar 
B: 	ja en daarboven zitten nog een klein 
A: 	zitten nog een klein tuu zijn een beetje zien een beetje uit als een inboorling zeggen maar met een neusring 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	oké 
B: 	de inboorling 
A: 	de inboorling 
A: 	nummer vijf 
A: 	die inboorling 
B: 	ja dat zijn A 
B: 	ik hebben de inboorling 
A: 	dat zijn nummer vijf 
A: 	met de neusring 
B: 	je bedoelen de inboorling 
A: 	inboorling die ja 
B: 	H 
B: 	ik hebben de inboorling 
A: 	ja nummer vijftien 
